,Date,Close,Open,High,Low,PE,Ratio
389,1961-07-20,64.709999,64.709999,64.709999,64.709999,20.15,21.55
390,1961-07-21,64.860001,64.860001,64.860001,64.860001,20.15,21.55
391,1961-07-24,64.870003,64.870003,64.870003,64.870003,20.15,21.55
392,1961-07-25,65.230003,65.230003,65.230003,65.230003,20.15,21.55
393,1961-07-26,65.839996,65.839996,65.839996,65.839996,20.15,21.55
394,1961-07-27,66.610001,66.610001,66.610001,66.610001,20.15,21.55
395,1961-07-28,66.709999,66.709999,66.709999,66.709999,20.15,21.55
396,1961-07-31,66.760002,66.760002,66.760002,66.760002,20.15,21.55
397,1961-08-01,67.370003,67.370003,67.370003,67.370003,20.94,22.27
398,1961-08-02,66.940002,66.940002,66.940002,66.940002,20.94,22.27
399,1961-08-03,67.290001,67.290001,67.290001,67.290001,20.94,22.27
400,1961-08-04,67.68,67.68,67.68,67.68,20.94,22.27
401,1961-08-07,67.669998,67.669998,67.669998,67.669998,20.94,22.27
402,1961-08-08,67.82,67.82,67.82,67.82,20.94,22.27
403,1961-08-09,67.739998,67.739998,67.739998,67.739998,20.94,22.27
404,1961-08-10,67.949997,67.949997,67.949997,67.949997,20.94,22.27
405,1961-08-11,68.059998,68.059998,68.059998,68.059998,20.94,22.27
406,1961-08-14,67.720001,67.720001,67.720001,67.720001,20.94,22.27
407,1961-08-15,67.550003,67.550003,67.550003,67.550003,20.94,22.27
408,1961-08-16,67.730003,67.730003,67.730003,67.730003,20.94,22.27
409,1961-08-17,68.110001,68.110001,68.110001,68.110001,20.94,22.27
410,1961-08-18,68.290001,68.290001,68.290001,68.290001,20.94,22.27
411,1961-08-21,68.43,68.43,68.43,68.43,20.94,22.27
412,1961-08-22,68.440002,68.440002,68.440002,68.440002,20.94,22.27
413,1961-08-23,67.980003,67.980003,67.980003,67.980003,20.94,22.27
414,1961-08-24,67.589996,67.589996,67.589996,67.589996,20.94,22.27
415,1961-08-25,67.669998,67.669998,67.669998,67.669998,20.94,22.27
416,1961-08-28,67.699997,67.699997,67.699997,67.699997,20.94,22.27
417,1961-08-29,67.550003,67.550003,67.550003,67.550003,20.94,22.27
418,1961-08-30,67.809998,67.809998,67.809998,67.809998,20.94,22.27
